track_id,artist_id,track_name,track_url,artist_name,track_description,likes,comments,shares,plays,track_image_url,track_image_path,track_date_time,tags,bpm,key,genre,waveform_url,waveform_path,length,is_track,mix,feat,remixer,original_producer,track_date,beatport_url,beatport_track_name,label,beatport_release
3800,87,Schwindelig (LectroNatic Remix),https://soundcloud.com/kollektivturmstrasse/schwindelig-lectronatic-remix,Kollektiv Turmstrasse,None,69,1,10,4379,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3800-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2012-09-03T00:00:00.000Z,None,158,B min,Dubstep,https://geo-media.beatport.com/image_size/1500x250/af3fc8ca-8e1d-4332-90e4-92eb5367ae8a.png,https://sound-scraping.eu-west-3/waveforms/87-3800-af3fc8ca-8e1d-4332-90e4-92eb5367ae8a.png,449,NULL,LECTRONATIC REMIX,Square Room Heroes,LectroNatic,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/schwindelig/3711794,Schwindelig,Connaisseur Recordings,03/09/2012
3801,87,Schwindelig (Clemens Ruh Balance Remix),https://soundcloud.com/kollektivturmstrasse/schwindelig-clemens-ruh,Kollektiv Turmstrasse,None,62,2,8,4513,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3801-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2012-09-03T00:00:00.000Z,None,100,B min,Indie Dance,https://geo-media.beatport.com/image_size/1500x250/6e2dedac-9cad-4a56-a715-fb8e5996cb12.png,https://sound-scraping.eu-west-3/waveforms/87-3801-6e2dedac-9cad-4a56-a715-fb8e5996cb12.png,498,NULL,CLEMENS RUH BALANCE REMIX,Square Room Heroes,Clemens Ruh,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/schwindelig/3711797,Schwindelig,Connaisseur Recordings,03/09/2012
3805,87,Uneins (Aril Brikha Remix),https://soundcloud.com/kollektivturmstrasse/uneins-aril-brikha-remix,Kollektiv Turmstrasse,None,43,0,5,3465,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3805-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2011-10-21T00:00:00.000Z,None,126,B min,Deep House,https://geo-media.beatport.com/image_size/1500x250/7dda2436-1514-431f-8f2d-96b28cae121a.png,https://sound-scraping.eu-west-3/waveforms/87-3805-7dda2436-1514-431f-8f2d-96b28cae121a.png,590,NULL,ARIL BRIKHA REMIX,Square Room Heroes,Aril Brikha,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/uneins/2735287,Uneins,Connaisseur Recordings,13/10/2011
3806,87,Uneins (Of Norway Version),https://soundcloud.com/kollektivturmstrasse/uneins-of-norway-version,Kollektiv Turmstrasse,None,74,0,4,2674,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3806-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2011-10-21T00:00:00.000Z,None,127,Gâ™­ min,House,https://geo-media.beatport.com/image_size/1500x250/0d6b7a55-e887-4029-913b-26f718a1e3af.png,https://sound-scraping.eu-west-3/waveforms/87-3806-0d6b7a55-e887-4029-913b-26f718a1e3af.png,493,NULL,OF NORWAY VERSION,Square Room Heroes,Of Norway,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/uneins/2735286,Uneins,Connaisseur Recordings,13/10/2011
3807,87,Schwindelig,https://soundcloud.com/kollektivturmstrasse/schwindelig,Kollektiv Turmstrasse,None,676,8,59,23488,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3807-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2011-09-09T00:00:00.000Z,None,100,B min,House,https://geo-media.beatport.com/image_size/1500x250/4a0fafef-e9e8-4a77-9138-484e980bc755.png,https://sound-scraping.eu-west-3/waveforms/87-3807-4a0fafef-e9e8-4a77-9138-484e980bc755.png,254,NULL,ORIGINAL MIX,Square Room Heroes,None,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/schwindelig/8159594,Schwindelig,SLCTNS,12/08/2016
3808,87,Heiligendamm,https://soundcloud.com/kollektivturmstrasse/heiligendamm,Kollektiv Turmstrasse,None,76,2,11,2875,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3808-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2011-07-08T00:00:00.000Z,None,127,E min,Techno (Peak Time / Driving),https://geo-media.beatport.com/image_size/1500x250/96378bdd-9b8b-46c4-9701-a56e0371017d.png,https://sound-scraping.eu-west-3/waveforms/87-3808-96378bdd-9b8b-46c4-9701-a56e0371017d.png,515,NULL,ORIGINAL MIX,Square Room Heroes,None,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/heiligendamm/355442,Heiligendamm,Connaisseur Recordings,30/10/2008
3809,87,Heimat (Robag's Turmkolle Rekksmow),https://soundcloud.com/kollektivturmstrasse/heimat-robags-turmkolle-3,Kollektiv Turmstrasse,None,602,6,83,24645,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3809-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2011-06-29T00:00:00.000Z,None,120,B min,Tech House,https://geo-media.beatport.com/image_size/1500x250/8d60caf5-9706-4fb4-a403-40236068cd97.png,https://sound-scraping.eu-west-3/waveforms/87-3809-8d60caf5-9706-4fb4-a403-40236068cd97.png,443,NULL,NULL,Square Room Heroes,Robag Wruhme,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/heimat/3069144,Heimat,Connaisseur Recordings,25/11/2011
3810,87,Was Bleibt (Jimpster Iinstrumental),https://soundcloud.com/kollektivturmstrasse/was-bleibt-jimpster-2,Kollektiv Turmstrasse,None,92,2,10,5485,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3810-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2011-06-29T00:00:00.000Z,None,124,C min,Tech House,https://geo-media.beatport.com/image_size/1500x250/2e339a2a-1244-4f97-b916-ecf8a0df8d6e.png,https://sound-scraping.eu-west-3/waveforms/87-3810-2e339a2a-1244-4f97-b916-ecf8a0df8d6e.png,403,NULL,JIMPSTER IINSTRUMENTAL MIX,Square Room Heroes,Jimpster,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/was-bleibt/1984630,Was Bleibt,Connaisseur Recordings,29/06/2011
3811,87,Was Bleibt (Jimpster Vocal Remix),https://soundcloud.com/kollektivturmstrasse/was-bleibt-jimpster-vocal,Kollektiv Turmstrasse,None,176,1,23,7171,https://i1.sndcdn.com/avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3811-avatars-5DnFIm8YXofcuHUF-vEu1OQ-t500x500.jpg,2011-06-29T00:00:00.000Z,None,124,C min,Tech House,https://geo-media.beatport.com/image_size/1500x250/aade120e-6d82-42b8-8c43-70d0b96f0b1a.png,https://sound-scraping.eu-west-3/waveforms/87-3811-aade120e-6d82-42b8-8c43-70d0b96f0b1a.png,481,NULL,JIMPSTER VOCAL REMIX,Square Room Heroes,Jimpster,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/was-bleibt/1984628,Was Bleibt,Connaisseur Recordings,29/06/2011
3813,87,Dead Room,https://soundcloud.com/kollektivturmstrasse/dead-room,Kollektiv Turmstrasse,None,55,1,6,1028,https://i1.sndcdn.com/artworks-Hmmu2zyOb1me-0-t500x500.jpg,https://sound-scraping.eu-west-3/track-images/87-3813-artworks-Hmmu2zyOb1me-0-t500x500.jpg,2009-06-29T00:00:00.000Z,None,125,Eâ™­ min,Tech House,https://geo-media.beatport.com/image_size/1500x250/537435a3-0859-4e24-adbd-3cac7bf1f765.png,https://sound-scraping.eu-west-3/waveforms/87-3813-537435a3-0859-4e24-adbd-3cac7bf1f765.png,369,NULL,ORIGINAL MIX,Square Room Heroes,None,Kollektiv Turmstrasse,NULL,https://www.beatport.com/track/dead-room/883677,Dead Room,Cocoon Recordings,29/06/2009
