id,track_name,track_id,download_url,artist_name,artist_id
11,Another Earth,62,https://todd38997692451975.googuu.xyz/api/get.php?id=807f25eccf3030c5e17542a9188,Tale of Us,2
10,Discochord,61,https://todd38997692451975.googuu.xyz/api/get.php?id=6597d7bc4fc3c2c924882f02a89,Tale of Us,2
12,Into,64,https://todd38997692451975.googuu.xyz/api/get.php?id=8cf0bad24a5e1d1e729185a3c19,Tale of Us,2
13,Jungle Dub,65,https://todd38997692451975.googuu.xyz/api/get.php?id=f1642f6833744da9a4e7feee650,Tale of Us,2
14,The Backing Band,66,https://todd38997692451975.googuu.xyz/api/get.php?id=6af6ebc4b27aec1dbacc5c2e104,Tale of Us,2
15,Zarangi,67,https://joanne178972239606370.googuu.xyz/api/get.php?id=5fe3968ab6b5ab029b4be215748,Tale of Us,2
17,"Kaiserdisco, Richie Hawtin - CLOSE combined (Acid Trip) (Live)",77,https://joanne178972239606370.googuu.xyz/api/get.php?id=046608219776e2e20b9a51221b1,Richie Hawtin,3
18,"Kuvoka, Richie Hawtin - CLOSE combined (Kargi Kontinued) (Live)",78,https://joanne178972239606370.googuu.xyz/api/get.php?id=0ec58e44c5dcb2c9732b982338c,Richie Hawtin,3
19,"Jen Series, ANNA, Richie Hawtin - CLOSE combined (When I'm a Freakin Acid Dream) (Live)",79,https://marion73527222141285.googuu.xyz/api/get.php?id=008326f204d4c4d18dae8c20f88,Richie Hawtin,3
16,Richie Hawtin - Time Stands Still,69,https://joanne178972239606370.googuu.xyz/api/get.php?id=baa7fc5a4cb89a3a66e469a9f34,Richie Hawtin,3
